amount,hour_of_day,is_night,is_cross_border,amount_vs_customer_p95,txn_count_1h,txn_count_24h,is_new_device,device_age_days,customer_device_count_so_far,merchant_fraud_rate_hist,is_new_country_for_customer,ip_country_mismatch,payment_method_bank_transfer,payment_method_card,payment_method_wallet
107.75,14,0,0,0.6474913053034719,0,0,0,193.33577490332874,2,0.0,0,0,False,True,False
9.68,1,1,0,0.16680883041144182,0,0,0,133.37511023060895,2,0.0,0,0,False,True,False
11.22,13,0,0,0.2187859481936325,0,0,0,119.00898975561589,1,0.012195121951219513,0,0,False,False,True
68.95,19,0,0,1.1146947140562327,0,0,0,121.1529614216974,2,0.021505376344086023,0,0,True,False,False
15.55,2,1,0,0.1078378333413929,0,0,0,253.31928238361704,1,0.009900990099009901,0,0,True,False,False
21.74,0,0,0,0.17199775175045495,0,0,0,170.6662833874242,1,0.014925373134328358,0,0,False,True,False
87.14,1,1,0,1.0,0,0,0,30.522653776599306,1,0.014946502953908144,0,0,False,False,True
24.34,4,1,0,0.34164280021275056,0,0,0,70.31004774264919,1,0.07407407407407407,0,1,False,False,True
30.68,11,0,0,1.0,0,0,0,34.58721028056928,1,0.014601788666129784,0,0,False,True,False
45.36,19,0,0,1.0,0,0,0,96.58420500063635,1,0.022727272727272728,1,0,True,False,False
23.87,13,0,0,0.2226097640298266,0,0,0,365.2865076922135,2,0.00819672131147541,0,0,False,False,True
61.52,16,0,1,0.6129199317247848,0,0,0,169.60518371995298,2,0.0,1,0,False,True,False
53.64,4,1,0,0.6849349964893252,0,1,0,217.20582987524224,1,0.011235955056179775,0,0,False,True,False
70.54,19,0,0,0.1789651274778574,0,0,0,51.406769527360446,1,0.014932983682983682,0,0,False,True,False
165.72,8,0,0,0.13936420745070036,0,0,0,205.69130560313607,2,0.0,0,0,False,True,False
31.83,11,0,0,0.3489175078222252,0,0,0,102.07108413388914,2,0.024193548387096774,0,0,False,True,False
4.71,3,1,0,0.07461681532548911,0,0,0,335.7587731417009,2,0.027972027972027972,0,0,False,False,True
18.28,6,0,0,0.2571677744412401,0,0,0,211.8490903522666,1,0.0,0,0,False,True,False
61.07,3,1,0,0.7625504827586365,0,0,0,189.3983286117871,1,0.020618556701030927,0,0,False,False,True
7.4,13,0,0,0.139671392095894,0,0,0,298.1824632717374,1,0.032520325203252036,0,0,False,True,False
59.42,20,0,0,1.0,0,0,0,74.85490740373812,1,0.02702702702702703,0,0,False,True,False
13.69,0,0,0,1.0,0,0,1,0.0,0,0.0,1,0,False,True,False
5.27,15,0,0,0.028062963129084524,0,0,0,259.2406526451439,1,0.0,0,0,False,True,False
12.51,8,0,0,0.08015839401177456,0,0,0,91.33107852298103,2,0.0392156862745098,0,0,False,True,False
48.84,18,0,0,0.3958550282597455,0,1,0,319.77559235069464,2,0.006369426751592357,0,0,False,False,True
77.61,17,0,0,1.0,0,0,1,0.0,0,0.014877130839052469,1,0,False,True,False
48.04,23,0,0,0.08341146632737531,0,0,0,185.9588811493406,2,0.01282051282051282,0,0,False,True,False
94.93,16,0,0,0.716074521263676,0,0,0,189.08093368103204,1,0.0,0,0,False,True,False
64.13,3,1,0,1.1609340847043077,0,0,0,317.04907040178347,1,0.014388489208633094,0,0,False,True,False
10.74,15,0,0,1.0,0,0,1,0.0,1,0.014373366662879219,0,0,False,True,False
16.53,20,0,0,0.07108500282282292,0,0,0,224.77534419632508,1,0.02608695652173913,0,0,False,True,False
69.11,11,0,0,0.2234447208769512,0,0,0,99.1874709533595,2,0.0,0,0,False,True,False
47.93,13,0,0,0.20583182940036146,0,0,0,128.39967623672473,2,0.0,0,0,False,True,False
64.13,23,0,0,0.3998054874297521,0,0,0,290.3416216834587,1,0.04580152671755725,0,0,False,True,False
33.87,3,1,0,0.3691955486244218,0,0,0,236.79891958113208,1,0.0,0,0,False,False,True
5.74,6,0,0,0.05753088218165445,0,0,0,214.5603478642166,1,0.02127659574468085,0,0,False,True,False
380.8,16,0,0,2.4317972665794088,0,0,0,240.51200688746442,1,0.03669724770642202,0,0,False,True,False
20.84,3,1,0,1.0,0,0,0,11.175125351341654,2,0.01505437285253799,0,0,False,True,False
14.43,16,0,0,0.196527065760612,0,0,0,153.58627130000235,1,0.014925373134328358,0,0,False,True,False
17.07,17,0,0,0.23765766940024968,0,0,0,33.5957394620009,2,0.0,0,0,False,False,True
13.95,20,0,0,0.20472556200872385,0,0,0,230.24233229775282,1,0.009615384615384616,0,0,False,False,True
86.8,3,1,0,1.0,0,1,0,21.37135230228051,2,0.014930099986427182,0,0,False,True,False
